idaction,name,hash,type,url_prefix
101,ecomst.vipani.ai/e-commerce/product-details/21973,3845861829,1,2.0
102,ecomst.vipani.ai/e-commerce/vendor-profile/347,3619854552,1,2.0
103,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:21510,%22seller%22:%22347%22,%22parentId%22:22081,%22price%22:%22%22%7D",2037791782,1,2.0
104,ecomst.vipani.ai/deal-room/direct/167/chat,3499266084,1,2.0
105,ecomst.vipani.ai/e-commerce/information/information-comming-soon,3534962843,1,2.0
106,ecomst.vipani.ai/e-commerce/category-four/5fbee8562c8c6e8292f439bb39e2ca08,3290949517,1,2.0
107,ecomst.vipani.ai/e-commerce/vendor-profile/166,2440502946,1,2.0
108,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:57587,%22seller%22:%22166%22,%22parentId%22:59261,%22price%22:%22%22%7D",2690586935,1,2.0
109,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:12946,%22seller%22:%22166%22,%22parentId%22:13075,%22price%22:%22%22%7D",139006008,1,2.0
110,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:57574,%22seller%22:%22166%22,%22parentId%22:59248%7D",835378615,1,2.0
111,192.168.9.133/order-management/seller-dashboard,3614471025,1,0.0
112,192.168.9.133/order-management/seller-parent-invoice?invoiceId=243&invoiceType=parent,7827140,1,0.0
113,192.168.9.133/auth/login,1906383587,1,0.0
114,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:12952,%22seller%22:%22166%22,%22parentId%22:13081%7D",54119693,1,2.0
115,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:57562,%22seller%22:%22166%22,%22parentId%22:59236,%22price%22:%22%22%7D",4058160645,1,2.0
116,ecomst.vipani.ai/deal-room/direct/168/chat,566502129,1,2.0
117,ecomst.vipani.ai/e-commerce/category-three/bdc2787440c1b0ab6352bb2fe09c03ff,434268289,1,2.0
118,ecomst.vipani.ai/e-commerce/product-details/13039,2214237195,1,2.0
119,ecomst.vipani.ai/e-commerce/vendor-profile/534,84353815,1,2.0
120,ecomst.vipani.ai/e-commerce/category-two/edbc3b4593ca4d6ad6e94071e277b5e9,4165743040,1,2.0
121,ecomst.vipani.ai/e-commerce/category-three/5f9e11b30e1c9beeec32522c969c2ed9,3142591489,1,2.0
122,ecomst.vipani.ai/e-commerce/product-details/677,1386320391,1,2.0
123,ecomst.vipani.ai/e-commerce/vendor-profile/93,2762685401,1,2.0
124,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:655,%22seller%22:%2293%22,%22parentId%22:666,%22price%22:%22%22%7D",1377511288,1,2.0
125,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:658,%22seller%22:%2293%22,%22parentId%22:669,%22price%22:%22%22%7D",1491473628,1,2.0
126,"ecomst.vipani.ai/e-commerce/product-oneseller/%7B%22product%22:659,%22seller%22:%2293%22,%22parentId%22:670,%22price%22:%22%22%7D",3443324316,1,2.0
127,unify.vipani.ai/e-commerce/category-three/efe0bd2c212eceec598c42a15b8cd07f,1283831006,1,2.0
128,unify.vipani.ai/,1032972744,1,2.0
129,unify.vipani.ai/e-commerce/category-four/5fbee8562c8c6e8292f439bb39e2ca08,2519933577,1,2.0
130,unify.vipani.ai/e-commerce/category-two/edbc3b4593ca4d6ad6e94071e277b5e9,2221605747,1,2.0
131,localhost/order-management/seller-parent-invoice?invoiceId=661&invoiceType=parent,3584346456,1,0.0
132,stuam.vipani.ai/,1934041071,1,2.0
133,stuam.vipani.ai/e-commerce/product-details/44558,1922912114,1,2.0
134,ecomst.vipani.ai/hub/social,3002267790,1,2.0
135,ecomst.vipani.ai/e-commerce/search-products/fenner,3437745391,1,2.0
136,ecomst.vipani.ai/e-commerce/product-details/14941,1348897224,1,2.0
137,ecomst.vipani.ai/e-commerce/product-details/651,2314491312,1,2.0
138,ecomst.vipani.ai/e-commerce/product-details/639,3514137092,1,2.0
139,ecomst.vipani.ai/e-commerce/search-products/gear%2520,957144091,1,2.0
140,ecomst.vipani.ai/e-commerce/search-products/gear,3817520170,1,2.0
141,ecomst.vipani.ai/e-commerce/category-three/87678c3ee7546ea13ec1494f9227a98f,2832775881,1,2.0
